Name,Province,Fuel,Capacity,Status,Units Included
LNG Hải Phòng 4 (Đồ Sơn),Hải Phòng,Gas,4500.0,2 proposed,LNG Hải Phòng 4 (Đồ Sơn)
LNG Long An I,Long An,Gas,1500.0,3 added to PDP,LNG Long An I
LNG Long An I phase 2,Long An,Gas,1500.0,1 announced,LNG Long An I phase 2
LNG Long An II,Long An,Gas,1500.0,3 added to PDP,LNG Long An II
LNG Long An II phase 2,Long An,Gas,1500.0,1 announced,LNG Long An II phase 2
LNG Long Sơn,Bà Rịa-Vũng Tàu,Gas,1200.0,3 added to PDP,LNG Long Sơn
LNG Long Sơn II+III,Bà Rịa-Vũng Tàu,Gas,3200.0,2 proposed,LNG Long Sơn II+III
LNG Long Sơn IV (địa điểm Tây),Bà Rịa-Vũng Tàu,Gas,3600.0,2 proposed,LNG Long Sơn IV (địa điểm Tây)
LNG Mũi Kê Gà 1,Bình Thuận,Gas,1200.0,2 proposed,LNG Mũi Kê Gà 1
"LNG Mũi Kê Gà 2,3",Bình Thuận,Gas,2400.0,1 announced,"LNG Mũi Kê Gà 2,3"
LNG Mỹ Giang,Khánh Hòa,Gas,6000.0,2 proposed,LNG Mỹ Giang
LNG Nghi Sơn (Thanh Hóa),Thanh Hóa,Gas,5000.0,2 proposed,LNG Nghi Sơn (Thanh Hóa)
LNG Nhơn Trạch 3,Đồng Nai,Gas,750.0,4 Construction,LNG Nhơn Trạch 3
LNG Nhơn Trạch 4,Đồng Nai,Gas,750.0,4 Construction,LNG Nhơn Trạch 4
LNG Núi Thành (Quảng Nam),Quảng Nam,Gas,3200.0,2 proposed,LNG Núi Thành (Quảng Nam)
LNG Phong Điền – Huế,Huế,Gas,3000.0,2 proposed,LNG Phong Điền – Huế
LNG Phú Mỹ 3.1,Bà Rịa-Vũng Tàu,Gas,850.0,2 proposed,LNG Phú Mỹ 3.1
LNG Quảng Bình,Quảng Bình,Gas,3000.0,2 proposed,LNG Quảng Bình
LNG Quảng Nam,Quảng Nam,Gas,4000.0,2 proposed,LNG Quảng Nam
LNG Quảng Ninh 1 (Cẩm Phả),Quảng Ninh,Gas,1500.0,4 Construction,LNG Quảng Ninh 1 (Cẩm Phả)
LNG Quảng Ninh 2 (Cẩm Phả),Quảng Ninh,Gas,1500.0,2 proposed,LNG Quảng Ninh 2 (Cẩm Phả)
LNG Quảng Ninh 3 (Quảng Yên),Quảng Ninh,Gas,4500.0,2 proposed,LNG Quảng Ninh 3 (Quảng Yên)
LNG Quảng Ninh 4 (Hải Hà),Quảng Ninh,Gas,3000.0,2 proposed,LNG Quảng Ninh 4 (Hải Hà)
LNG Quảng Trạch 2,Quảng Bình,Gas,1500.0,2 proposed,LNG Quảng Trạch 2
LNG Quỳnh Lập,Nghệ An,Gas,1500.0,2 proposed,LNG Quỳnh Lập
LNG Sông Đốc (Cà Mau),Cà Mau,Gas,3000.0,2 proposed,LNG Sông Đốc (Cà Mau)
LNG Sơn Mỹ I,Bình Thuận,Gas,2250.0,3 added to PDP,LNG Sơn Mỹ I
LNG Sơn Mỹ II,Bình Thuận,Gas,2250.0,3 added to PDP,LNG Sơn Mỹ II
LNG Thái Bình,Thái Bình,Gas,4500.0,2 proposed,LNG Thái Bình
LNG Tân Phước,Tiền Giang,Gas,4500.0,2 proposed,LNG Tân Phước
"LNG Tân Thuận – Đầm Dơi, Cà Mau",Cà Mau,Gas,3200.0,2 proposed,"LNG Tân Thuận – Đầm Dơi, Cà Mau"
LNG Vân Phong (J-Power),Khánh Hòa,Gas,3000.0,1 announced,LNG Vân Phong (J-Power)
LNG Vân Phong (Mỹ Giang) phase 1,Khánh Hòa,Gas,3000.0,2 proposed,LNG Vân Phong (Mỹ Giang) phase 1
LNG Vân Phong (Mỹ Giang) phase 2,Khánh Hòa,Gas,3000.0,1 announced,LNG Vân Phong (Mỹ Giang) phase 2
LNG miền Nam,"Hiệp Phước 2, Bến Tre, Mũi Kê Gà, Cà Mau,",Gas,1500.0,0 exploring,LNG miền Nam
Lee & Man,Hau Giang,Coal,125.0,5 operating,"Lee & Man Unit 1, Lee & Man Unit 2"
Long An 2,Long An,Coal,1600.0,9 cancelled,"Long An 2 Unit 1, Long An 2 Unit 2"
Long An 1,Long An,Coal,1200.0,1 announced,"Long An 1 Unit 1, Long An 1 Unit 2"
Long Phú 1,Soc Trang,Coal,1200.0,4 construction,"Long Phú 1 Unit 1, Long Phú 1 Unit 2"
Long Phú 2,Soc Trang,Coal,1320.0,9 cancelled,"Long Phú 2 Unit 1, Long Phú 2 Unit 2"
Long Phú 3,Soc Trang,Coal,1800.0,9 cancelled,"Long Phú 3 Unit 1, Long Phú 3 Unit 2, Long Phú 3 Unit 3"
Mao Khe,Quảng Ninh,Coal,440.0,5 operating,"Mao Khe Unit 1, Mao Khe Unit 2"
Mong Duong 1,Quảng Ninh,Coal,1080.0,5 operating,"Mong Duong 1 Unit 1, Mong Duong 1 Unit 2"
